Ship Draw,Lerp Draw,Turret Draw,Planets Draw,Ship Update,Lerp Update,turret Update,planets update
0.00288674,3.69831e-006,3.04083e-005,0.000652135,0.000161904,1.23277e-006,3.28739e-006,4.10923e-007
0.00301001,3.69831e-006,3.16411e-005,0.00072117,0.000288057,1.64369e-006,3.69831e-006,0
0.00293481,3.69831e-006,3.57503e-005,0.000692817,0.000288879,1.64369e-006,2.87646e-006,4.10923e-007
0.0029529,3.69831e-006,3.61613e-005,0.000690762,0.000300385,1.64369e-006,2.87646e-006,4.10923e-007
0.0029266,3.69831e-006,3.61613e-005,0.000692406,0.000155329,1.23277e-006,3.28739e-006,4.10923e-007
0.00275894,1.19168e-005,4.88999e-005,0.00064967,0.000156151,1.64369e-006,3.28739e-006,4.10923e-007
0.00294057,3.69831e-006,3.32848e-005,0.000684187,0.000291756,1.64369e-006,3.28739e-006,0
0.00282715,3.28739e-006,3.36957e-005,0.000687886,0.0001467,1.23277e-006,3.28739e-006,4.10923e-007
0.00285181,3.69831e-006,3.98596e-005,0.000715417,0.000297098,1.64369e-006,3.69831e-006,4.10923e-007
0.00297098,3.69831e-006,3.86268e-005,0.000680489,0.000290523,1.64369e-006,3.28739e-006,0
0.00299563,3.69831e-006,4.02705e-005,0.000692817,0.000299152,1.23277e-006,2.87646e-006,4.10923e-007
0.00291838,3.28739e-006,3.69831e-005,0.000653779,0.000159849,1.64369e-006,3.28739e-006,0
0.00277045,3.28739e-006,3.7394e-005,0.000708021,0.000298741,1.64369e-006,3.28739e-006,4.10923e-007
0.00284975,3.28739e-006,3.94486e-005,0.000651313,0.00015574,1.64369e-006,3.69831e-006,4.10923e-007
0.00296728,4.10923e-006,4.56125e-005,0.000698159,0.000156151,1.64369e-006,3.69831e-006,0
0.00295947,3.69831e-006,4.56125e-005,0.000692817,0.00015574,1.64369e-006,3.69831e-006,4.10923e-007
0.0029529,3.69831e-006,4.47906e-005,0.000692817,0.000156562,1.64369e-006,3.28739e-006,0
0.00295248,3.69831e-006,4.47906e-005,0.000691995,0.000147111,1.64369e-006,3.28739e-006,4.10923e-007
0.00295454,3.69831e-006,4.52016e-005,0.000691584,0.00015574,1.64369e-006,3.69831e-006,0
0.00294796,3.69831e-006,4.88999e-005,0.000691173,0.000304494,1.64369e-006,3.69831e-006,4.10923e-007
0.0029492,3.69831e-006,4.93108e-005,0.000691995,0.000309836,1.64369e-006,3.28739e-006,0
0.00295002,3.69831e-006,4.8489e-005,0.000691995,0.000162315,1.64369e-006,3.28739e-006,0
